uniqueID,layout,format,title, contributor,group,creator,creationdate,shortdesc,copyright,teammember,categories,medium,demographic,time,tags
artifact2023_00011,item,photo,Cafeteria workers 1989,Heather Akou,artifact,unknown,1989,"Color snapshot showing two cafeteria workers at the Mayfield, Illinois location of Marshall Field's department store.  Uniform purchased by Heather Akou from eBay, which included this photograph and a coupon for 10% off an adult entree, dated March 1989.  The uniforms included a striped, short-sleeve, button-down shirt (stripes are yellow, maroon, and brown) with a brown vest-like covering, a small apron in the same striped material that tied at the waist, and a green nametag with the Marshall Field's logo.",CC BY-NC 4.0,Heather Akou,[ work ],[ photograph ],[ women ],[ late 20th ],[ corporate ]
artifact2023_0012,item,photo,Esso order blank 1954,Heather Akou,artifact,Unitog,1954,"Blank for ordering uniforms for attendants working at Esso gas stations.  Uniforms designed and manufactured by Unitog.  Includes a price list and measuring instructions.  Minimal selection of items includes coveralls, a 'lube coat,' shirts, pants, caps, bow ties, jackets, and belts.  Paragraph titled 'A MESSAGE TO THE ESSO MAN' notes, 'Regulation Esso uniforms are made by Unitog from Esso's exclusive vat yarn-dyed 'Esso 1953' blue-and-white pinstripe uniform material.  Tailored to the latest Esso improved style and refinement specifications, plus Unitog's own famous 'proportioned sizes' and improved construction features, these are among the finest service station uniforms ever produced, and will 'pay out long before they wear out.'  Unitog's pledge to you is 'the best in quality--the best in service,' now and in the years to come.'  4 by 6 inches when fully folded, 8 by 18 inchdes when laid out.",CC BY-NC 4.0,Heather Akou,[ work ],[ catalogue ],[ men ],[ mid 20th ],[ corporate ]
artifact2023_0013,item,photo,Gulf order blank 1970,Heather Akou,artifact,Unitog,1970,"Blank for ordering uniforms for attendants working at Gulf gas stations.  Uniforms designed and manufactured by Unitog.  Includes an insert with price list, sizes, and measuring instructions.  Large selection of clothing items and accessories including shirts, trousers, jackets, caps, neckwear, gloves, socks, and thermal underwear.  Features Scotchgard (3M) finish for soil release and DuroPrest polyester for easy laundering ('NEVER NEEDS ANY IRONING').  8.5 by 11 inches when fully folded, opens to 17 by 22 inches. Full-color illustrations.",CC BY-NC 4.0,Heather Akou,[ work ],[ catalogue ],[ men ],[ late 20th ],[ corporate ]
artifact2023_0014,item,photo,Los Angeles Cap Co. catalogue circa 1920,Heather Akou,artifact,Los Angeles Cap Co.,1900 to 1930,"Small catalogue (26 pages) of uniform caps by Los Angeles Cap Co.  Page 22 advertises, 'If It's a Cap We Make It!'  'We Are Experts on Uniform Caps for: Army and Navy, Institutions, Letter Carriers, Aviators, Police, Porters, Chauffeurs, Colleges, Messenger Boys, Steamboat Companies, Societies, Delivery Men, Hotels, Firemen, Musicians, Railroads, Organizations, Cadet Schools.'  'Our complete line embraces every conceivable kind of cap made, and if you do not see, illustrated in this book, the exact style you want, write us your requirements and we can furnish prices and samples of any style cap desired.  ALL OUR CAPS ARE UNION MADE.  We also make Civilian Caps for Every Occasion.'  Back of the catalogue shows options for customized embroidery.",CC BY-NC 4.0,Heather Akou,"[ work, military, school, other ]",[ catalogue ],[ men ],[ early 20th ],"[ government, hospitality, marching bands ]"
artifact2023_0015,item,photo,Industrial Uniform Co. catalogue circa 1960,Heather Akou,artifact,Industrial Uniform Co.,1950 to 1970,"Inexpensive paper catalogue (40 pages) of unbranded work uniforms for gas station attendands, chauffeurs, postal carriers, office workers, factory workers, welders, firefighters, barbers, dentists, butchers, chefs, waitresses, nurses, and shop assistants.  Mostly clothing, but also aprons, shoes, caps (including disposable paper caps). thermal underwear, neckwear, and belts.  Offers customized embroidered patches for the worker's name, title, and/or place of employment for the 'automotive, gasoline, bottling, implement, and industrial field.'  Last page has button-down uniform shirts for bowling leagues.",CC BY-NC 4.0,Heather Akou,"[ work, sports ]",[ catalogue ],"[ men, women ]",[ mid 20th ],"[ small business, hospitality, healthcare, manufacturing, adult leisure ]"
artifact2023_0016,item,photo,Meter maid press photo 1985,Heather Akou,artifact,Ronnie Virgets,1985,"Press photo showing a Black meter maid (Parking Control Officer), Andrea Bernard, in New Orleans wearing a short-sleeved button-down uniform shirt with a badge, belt, and sunglasses (no cap).  She is placing a parking ticket on the windshield of a car.  Contributing writer identified as Ron Virgets.  Newsprint taped to the back of the press photo was published in the Times-Picayune, but this particular photograph was an unpublished extra.  Dated July 12, 1985.  Purchased by Heather Akou on eBay.  Article notes, 'Andrea Bernard says her black rubber-soled shoes from the Army surplus store will last her six months, if she sews the soles and caps the heels.  Small wonder.  A day in the life of Andrea Bernard involves 7 1/2 hours of combing a section of the French Quarter between St. Louis Cathedral and St. Jude's Shrine on North Rampart Street. [ ... ]... it's hard to find a job more feared or reviled than the one performed by Bernard and her 100 or so colleagues in the city's Parking Control Division.'  Barcode from historicimages.com (nob94873).",CC BY-NC 4.0,Heather Akou,[ work ],[ photograph ],[ women ],[ late 20th ],[ government ]
artifact2023_0017,item,photo,Pennsylvania Farmer catalogue 1943-44,Heather Akou,artifact,Pennsylvania Farmer,1943,"Catalogue (24 pages) of paper sewing patterns for home use, produced by 'Pennsylvania Farmer' (a journal for rural households in Pennsylvania).  The pattern department was located on 243 West 17th Street, New York.  Illustrations of finished clothing for women and children, plus a pattern for gloves that could be cut out of the catalogue and immediately used for sewing.  The cover and last five pages feature work uniforms.  First page inside the catalogue notes, 'Let us picture you as you are today in this year of rationing... and heroism, 1943.  You've a slenderer-than-ever waist, you've a smoother-than-ever hips, your skirt is wide enough to leave you action-free, but not too wide!  Fads and furbelows you disdain with upturned nose.  You're a woman of action now... full of pep and patriotism, throwing all of your energy into the service of your country.  Saving!  Conserving!  Salvaging!  Working!  That's you in 1943.'  8.5 by 11 inches with two-color illustrations throughout.  Fragile, magazine-style paper.",CC BY-NC 4.0,Heather Akou,[ work ],[ catalogue ],"[ women, children ]",[ early 20th ],"[ houshold, small business, manufacturing ]"
artifact2023_0018,item,photo,Atlanta Doorman's Cap circa 1940,Heather Akou,artifact,Ten Pryor Building,1935 to 1950,"Cap worn by a doorman at Thornton Place in Atlanta, Georgia, also known as the 'Ten Park Place Building.'  When it was built in the early 1930s, it was considered ultra-modern.  (For more information, see: https://www.atlantaga.gov/government/departments/city-planning/office-of-design/urban-design-commission/the-ten-park-place-building-thornton-building).  The cap has a ventilation system made of bamboo caning and a white inner layer of cotton fabric to protect the (dark green) outer layer from the wearer's sweat.  The name of the building is embroidered in red on the front; the contrasting color scheme (green and red) is very bold, which is not uncommon for doormen.  Manufacturer unknown.  Cotton twill with bamboo caning and a leather visor.",CC BY-NC 4.0,Heather Akou,[ work ],[ accessory ],[ men ],[ mid 20th ],[ hospitality ]
artifact2023_0019,item,photo,Casino uniform circa 1995,Heather Akou,artifact,Players Island,1993 to 2000,"Two-piece uniform for a casino worker (cocktail waitress?) at Players Island casino in Metropolis, Illinois (1993-2000), one of the first casinos in Illinois.  Now known as Harrah's Metropolis: https://en.wikipedia.org/wiki/Harrah%27s_Metropolis.  Manufactured by Aaron Davis Associates, size 10L.  The top is close-fitting like a corset or 19th-century bodice and has tiered cap sleeves.  It closes in the back with a zipper hidden by a placket.  The skirt is also tiered and wraps around the hips, closing with just two buttons at the waistline.  The hemline is asymetric (12in at the short, 18in at the longest).  The tiers are gem colors (purple, dark pink, and emerald green).  The body of the top is a very colorful, batik-like 'tropical' print.  Sold on eBay as a 'Carmen Miranda' costume.  The rental fee was $25 with a $50 deposit.  Fully lined, made of polyester satin.",CC BY-NC 4.0,Heather Akou,[ work ],[ clothing ],[ women ],[ late 20th ],[ adult entertainment ]
artifact2023_0020,item,photo,Waitress uniform circa 1970,Heather Akou,artifact,Angelica,1960 to 1980,"Waitress uniform manufactured by Angelica.  Sold on eBay as a 'Thankgiving costume,' but was likely designed for a themed restaurant.  Knee-length brown dress with a white, attached collar (accented with brown piping) and small white frills on the short sleeves.  Orange apron covers the lower chest, waist, and hips; has a decorative brown cord and is fully detachable from the dress.  Complete outfit includes a white 'mob cap' with a hidden drawcord.  Size 36.  Cotton/polyester blend.",CC BY-NC 4.0,Heather Akou,[ work ],"[ clothing, accessory ]",[ women ],[ mid 20th ],[ small business ]
artifact2023_0021,item,photo,US Army dress uniform WWII,Heather Akou,artifact,US Army Quartermaster,1944 to 1945,"US Army wool dress uniform with cap and pants worn by a veteran of campaigns in the Pacific (i.e. the Philippines).  Has various insignia and awards (ribbon bars) including the 'ruptured duck' patch (for honorable discharge), divisional, and rank badges.  There are no manufacturing labels on the hat or jacket, indicating that these pieces were made by the US Army Quartermaster.",CC BY-NC 4.0,Heather Akou,[ military ],"[ clothing, accessory ]",[ men ],[ mid 20th ],[ veteran ]
artifact2023_0022,item,photo,Holiday Inn logo patch circa 1990,Heather Akou,artifact,Holiday Inn,1983 to 2003,"Iron-on patch with the Holiday Inn logo.  Never used (since the adhesive is intact), but could have been applied to a generic piece of clothing to make it a Holiday Inn uniform.  Green with a yellow, embroidered border.  Says 'Holiday Inn' (registered trademark) in script with a yellow and orange pinwheel.  This particular logo was used from 1983 to 2003 (https://1000logos.net/holiday-inn-logo/).  2 by 3 inches.  The fabric is a sturdy twill, probably polyester.",CC BY-NC 4.0,Heather Akou,[ work ],[ accessory ],"[ men, women ]",[ late 20th ],"[ corporate, hospitality ]"
artifact2023_0023,item,photo,Shane Company postcard 1951,Heather Akou,artifact,Shane Co.,1951,"Postcard designed by Shane Co. to entice buyers in department stores (staff working for the stores, not individual consumers).  Mailed in 1951 to Burdine's department store in Palm Beach, Florida.  Front side of the card is pink and features a waitress in a pastel yellow dress with matching apron and cap.  She is young, white, slender, and has stylish red hair.  Printed text on the postcard says, 'SHANE DELUXE UNIFORMS STYLE D-343. Just one of Shane's 200 Washable Uniform styles for men and women.  Nationally advertised and distributed.  Shane Uniform Company, Inc., Factory and General Offices, Evansville, Indiana.  Sales Offices in New York, Chicago, Los Angeles.  Representatives in major cities coast to coast.'  Typewritten text on the postcard says, 'SHANE UNIFORM CO., INC. proudly announces the appointment of ...... LEO RUBIN as Sales Representative in your area.  Leo will gladly send you our 1951 Catalog, or arrange to call on you personally.  Just write or phone him at: 1407 Meridian Ave., Miami Beach, Florida, PHONE: 58-1217.'",CC BY-NC 4.0,Heather Akou,[ work ],[ postcard ],[ women ],[ mid 20th ],[ small business ]
artifact2023_0024,item,photo,US Army 87th Infantry division patches,Heather Akou,artifact,US Army Quartermaster,1917 to  2006,"Four divisional patches (Shoulder Sleeve Insignia) for members of the US Army 87th Infantry, featuring a 'golden acorn.'  SSI were first created by soldiers in South Carolina who were preparing to ship off to Europe during WWI.  They were hand-sewn and made of felted wool with applique to form the design.  In the image, the top left patch is the oldest (circa 1918).  It is entirely hand-made and the cap of the acorn is brown.  The top right patch is also made of wool, but has machine-applied embroidery in a single color.  it is significantly smaller than the older patch.  The botton left patch is the style used in WWII.  The entire patch is machine-embroidered on a neutral backgound and the edge is reinforced with a buttonhole stitch.  The bottom right patch is from the early 21st century.  It has an adhesive backing so it could be ironed on to the uniform and then reinforced with stiches.  (All of the older patches had to be applied to the uniform by hand stitching).  The colors are 'subdued' for camouflage fatigues.  The entire patch is machine-embroidered with an olive green background and a black acorn.  In 2004, the US Army adopted a new camouflage system known as the Univeral Camouflage Pattern (UCP).  The new uniforms had (and still have) velcro patches on the sleeves and chest for insignia so the divisional patches no longer need to be sewn on. ",CC BY-NC 4.0,Heather Akou,[ military ],[ accessory ],[ men ],"[ early 20th, mid 20th, late 20th, early 21st ]",[  ]
artifact2023_0025,item,photo,"LIFE magazine January 11, 1943",Heather Akou,artifact,LIFE magazine,1943,Issue of LIFE magazine featuring children's versions of military uniforms (cover plus accompanying article on pages 94-97).  Issue includes many advertisements and images/articles about soldiers and workers.,CC BY-NC 4.0,Heather Akou,"[ military, work ]",[ magazine ],"[ men, women, children ]",[ early 20th ],"[ government, manufacturing ]"
artifact2023_0026,item,photo,Knights Templar catalogue circa 1920,Heather Akou,artifact,C.E. Ward Company,1900 to 1950,"Catalogue of 'uniforms, costumes, and supplies' for the Knights Templar, an auxiliary of the Freemasons.  All items in the catalogue were manufactured by C.E. Ward Company based in New London, Ohio (a prominent manufacturer of regalia for various secret societies).  The Knights Templar was a 'militant' branch that drew symbolism/meaning from the Knights Templar of the Crusades.  Clothing and accessories were inspired by US Army uniforms from the mid-19th century: collapsible caps known as 'chapeau de bras' (which could be worn or carried under the arm), kepi hats, swords and sheaths, heavily-embroidered epaulets and shoulder patches with Christian crosses, fatigue coats, and dress coats (all dark blue).  Sashes connected the group to the Freemasons.  Items could be purchased in sets (11 different options) along with a suitcase to keep everything neatly packed away when not in use.  The last illustration shows two lavish examples of priest-like robes for closed ceremonies, promising them to be 'authentically correct in every detail.'  All other items were for parades and other public ceremonies.  48 pages.  Back cover shows the factory and offices in New London, Ohio.",CC BY-NC 4.0,Heather Akou,[ other ],[ accessory ],[ men ],[ early 20th ],[ secret societies ]
artifact2023_0027,item,photo,Daughters of America catalogue circa 1920,Heather Akou,artifact,Ward-Stilson Co.,1900 to 1950,"Catalogue for the Daughters of America (not to be confused with 'Daughters of the American Revolution'), women's auxiliary of the Junior Order of United American Mechanics.  Daughters of America was a nativist secret society that popular in the 1920s and 30s (https://en.wikipedia.org/wiki/Daughters_of_America), concurrent with (but not directly connected to) the KKK.  Features supplies for lodges, badges, and a variety of regalia with patriotic and Christian themes.  Some of the 'headdresses' resemble the caps of soldiers and workers.  32 pages, includes a price list and order form.  Ward-Stilson was an offshot of C.E. Ward, based in Anderson, Indiana.  The company manufactured regalia for a variety of secret socities.  For a short period, it sold a line of non-uniform workwear under the label 'Maisonette Frocks.'",CC BY-NC 4.0,Heather Akou,[ other ],[ accessory ],[ women ],[ early 20th ],[ secret societies ]
artifact2023_0028,item,photo,Degree of Pocahontas catalogue circa 1920,Heather Akou,artifact,Ward-Stilson Co.,1900 to 1950,"Catalogue for the Degree of Pocahontas, women's auxiliary of the Improved Order of Red Men (IORM), a secret society unique to the United States that was popular in the early 1900s.  Features supplies for rituals and record-keeping, decorations, regalia for private ceremonies and badges for public ceremonies.  The Degree of Pocahontas restricted membership to white women, but all of the imagery was based on white fantasies about indigenous cultures.  Unlike better-known secret societies (like the Freemasons), women did not need a male relative in the IORM to join, although men were welcome to attend rituals and a few were needed to serve in dramatic roles ('Powhatan' and 'John Smith').  The national society allowed members to make their own regalia and decorations, but Ward-Stilson offered standardized equipment and uniforms.",CC BY-NC 4.0,Heather Akou,[ other ],[ catalogue ],"[ women, men ]",[ early 20th ],[ secret societies ]
reading2023_0001,item,media,1868 Surgeon General report on military uniforms,Heather Akou,reading,,1868,"Report from the US Surgeon General, Alfred Woodhull, regarding the impact of US Army uniforms on the physical and mental health of soldiers.  It suggests reforms in the materials, construction, and use (i.e. layering) of clothing items and accessories that would be more comfortable in diverse climates.  Many of his suggestions were rejected or took decades to implement.  Citation: Alfred Woodhull, A Medical Report Upon the Uniform and Clothing of the Soldiers of the U.S. Army (Washington, DC: US Surgeon General's Office, 1868). ",public domain,Heather Akou,[ military ],[ report ],[ men ],[ mid 19th ],"[ healthcare, government ]"
reading2023_0002,item,media,1916 National Defense Act,Heather Akou,reading,,1916,"The 'National Defense Act' was debated under the Wilson administration and passed in preparation for likely involvement in WWI.  Although it focuses on the organization of military branches in the United States, this was also the first law making it illegal for civilians to dress like soldiers.  It was widely adopted by other government agencies such as the Postal Service, the National Park Service, and local/state police.  Citation: 'Chapter 134, National Defense Act, June 3, 1916,' The Statutes at Large of the United States of America from December 1915 to March 1917, Volume 39, Part I: Public Acts and Resolutions (Washington, DC: US Government Printing Office, 1917).",public domain,Heather Akou,[ military ],[ law ],[  ],[ early 20th ],[ government ]
reading2023_0003,item,media,2020 article on prison uniforms,Heather Akou,reading,,2020,"Academic article about the history of prison uniforms in the United States and their impact on popular culture (films, costumes, fashion, etc.).  Citation: Heather Akou, 'Prison Uniforms on the Outside: Intersections with US Popular Culture,' Fashion, Style & Popular Culture 7, no. 4 (2020): 473-499.",CC BY-NC 4.0,Heather Akou,[ other ],[ preprint ],[  ],"[ early 20th, mid 20th, late 20th, 21st ]","[ government, fashion ]"
